,Topic 0,Topic 1,Topic 2
Word 0,amp,amp,thank
Word 1,work,senat,great
Word 2,hillari,help,today
Word 3,trump,new,honor
Word 4,american,fund,visit
Word 5,make,stop,meet
Word 6,help,today,join
Word 7,need,zika,de
Word 8,peopl,offic,year
Word 9,famili,via,famili
Word 10,happi,join,amp
Word 11,america,counti,morn
Word 12,protect,read,servic
Word 13,woman,staff,see
Word 14,support,state,congrat
Word 15,job,obama,florida
Word 16,countri,call,day
Word 17,bill,must,enjoy
Word 18,right,drug,last
Word 19,must,feder,commun
NumTweet,11729,8264,9666
D,7396,3453,3679
R,4333,4811,5987
D%,63.1,41.8,38.1
R%,36.9,58.2,61.9
PolarityMean,0.11296719455788742,0.05477308867340927,0.1864266325353378
